formula,band_gap,energy_above_hull,formation_energy,volume,density,nsites,spacegroup_number
Sn(S4I)4,2.0594,0.0,-0.544462640476195,1405.7454001299482,2.691760369178742,42,43
Sn(S4I)4,0.9752000000000001,0.055438431904762275,-0.48902420857143286,2040.4766746986813,1.8544342134094152,42,43
TlSn2I5,1.5583920423108708,0.027724183541665948,-0.754969267291667,622.9905276742561,5.737746284451475,16,140
Tl3SnI5,2.439,0.019792450000001516,-0.8126382861111132,1485.0068627013884,6.111570703656905,36,19
Sn3SbSe2I5,0.9176000000000002,0.15442443268939332,-0.5365798622443179,396.074932423053,5.3258520673932415,11,8
InSn2I5,1.4282,0.022737729652777983,-0.6997791664583328,623.0259698702051,5.259986556186519,16,140
KSn2I5,1.5083000000000002,0.019912043854165784,-0.9619320246562495,651.5931036668055,4.643445684694835,16,140
In3SnI5,2.0039999999999996,0.0024043025000004548,-0.6830577324999992,1447.79592710797,5.035933685035875,36,15
In3SnI5,2.0773,0.0,-0.6854620349999997,1414.3112412067824,5.155162503099114,36,14
In3SnI5,2.1658,3.633944444247916e-05,-0.6854256955555569,1419.5216828996797,5.136240161888418,36,14
Tl4SnI6,2.1924999999999994,0.012481760000000897,-0.8260787721212149,915.2584330243253,6.160112363082207,22,55
ThSnI6,1.9801,0.02074547322917164,-1.2207961518749997,753.7710208544415,4.900187957923747,16,163
Sn4SI6,1.2495000000000003,0.0005634492424237969,-0.7389109379545463,840.5443755858996,5.011310766302722,22,12
SnHg7(As2I3)2,0.9481999999999999,0.0,-0.3267998131944473,2462.951091060537,6.968478244891259,72,198
SnClF,2.5486,0.22900826437500044,-1.759074503333333,121.08298464862872,4.7494910383490465,6,129
Sn2PClO4,2.5695,0.06621666703124962,-2.0626014499553564,283.72195468212544,4.305764318219912,16,40
SnPClO2,2.6142000000000003,0.3140618908285804,-1.5868009054285708,465.7996730368318,3.096284560288993,20,62
Sn5(S2Cl)2,1.2428,0.08739538909090871,-0.7960447459090904,591.2836826871288,4.452468170864477,22,2
Sn5(S2Cl)2,0.5160999999999998,0.03887374227272744,-0.844566392727272,634.7188994183766,4.147775935974832,22,28
